Scopus Source ID,Title,CiteScore,Percentile,"Citation
Count","Scholarly
Output","Percent
Cited",SNIP,SJR,RANK,"Rank
Out Of",Publisher,Type,Open Access,Scopus ASJC Code,Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus Source ID.1,Print ISSN,E-ISSN
11900154400,International Journal of Information Technology and Web Engineering,1.29,60,63,49,63,0.635,0.191,82,206,IGI Publishing,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/11900154400,15541045,15541053
12100154817,International Journal of Wireless and Mobile Computing,0.49,22,137,280,30,0.252,0.168,160,206,Inderscience Enterprises Ltd,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/12100154817,17411084,17411092
12100154833,ACM Transactions on Applied Perception,1.93,75,145,75,59,1.244,0.381,52,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/12100154833,15443558,15443965
12166,Mathematics and Computers in Simulation,1.88,73,733,389,59,0.981,0.526,54,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/12166,3784754,
12213,ACM Transactions on Computer Systems,3.84,90,146,38,71,2.746,0.537,20,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,Top 10%,https://www.scopus.com/sourceid/12213,7342071,
12288,Nonlinear Optics Quantum Optics,0.33,14,19,58,17,0.241,0.161,177,206,Old City Publishing,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/12288,15430537,
12318,Optical Materials,2.6,80,4832,1861,78,1.009,0.59,41,206,Elsevier,Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/12318,9253467,
12324,Computer Systems Science and Engineering,0.6,28,68,114,39,0.563,0.22,148,206,CRL Publishing,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/12324,2676192,
12415,"International Journal of Reliability, Quality and Safety Engineering",0.98,48,98,100,45,0.543,0.273,106,206,World Scientific Publishing Co. Pte Ltd,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/12415,2185393,
12753,International Game Theory Review,0.4,16,35,88,26,0.393,0.238,172,206,World Scientific Publishing Co. Pte Ltd,Journal,NO,1700,General Computer Science,Quartile4,,https://www.scopus.com/sourceid/12753,2191989,
12933,Cybernetics and Systems Analysis,0.64,32,217,340,31,1.023,0.286,139,206,Springer New York,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/12933,10600396,15738337
13185,Computing in Science and Engineering,1.43,65,323,226,45,1.017,0.324,72,206,IEEE Computer Society,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/13185,15219615,
13560,Ecological Psychology,0.89,43,54,61,44,0.589,0.328,116,206,Routledge,Journal,NO,1700,General Computer Science,Quartile3,,https://www.scopus.com/sourceid/13560,10407413,15326969
13675,Communications of the ACM,2.38,78,2247,946,39,3.166,0.715,44,206,Association for Computing Machinery (ACM),Journal,NO,1700,General Computer Science,Quartile1,,https://www.scopus.com/sourceid/13675,10782,
14000156208,Computer Science - Research and Development,1.52,69,138,91,51,1.201,0.28,63,206,Springer Verlag,Journal,NO,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/14000156208,18652034,
145262,Journal of the Brazilian Computer Society,1.11,55,50,45,58,0.934,0.208,92,206,Springer International Publishing AG,Journal,YES,1700,General Computer Science,Quartile2,,https://www.scopus.com/sourceid/145262,1046500,
