scopus_source_id,print_issn,real _frequency,journal_website,e_issn,real_review_time
11900154400,15541045,Quarterly,https://www.igi-global.com/gateway/journal/1093,15541053,
12100154817,17411084,Bi-monthly,https://www.inderscience.com/jhome.php?jcode=ijwmc,17411092,
12100154833,15443558,Quarterly,https://dl.acm.org/journal/tap,15443965,
12166,3784754,Monthly,https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/#description,18727166,
12213,7342071,Quarterly,https://dl.acm.org/journal/tocs,15577333,
12288,15430537,Quarterly,https://www.oldcitypublishing.com/journals/nloqo-home/,19448325,
12318,9253467,Monthly,https://www.journals.elsevier.com/optical-materials/#description,18731252,
12324,2676192,Bi-monthly,http://www.crlpublishing.co.uk/journal.asp/j_csse/s_Aims/20and/20Scope,,
12415,2185393,Bi-monthly,http://www.worldscientific.com/worldscinet/ijrqse,17936446,
12753,2191989,Quarterly,http://www.worldscinet.com/igtr,17936675,
12933,10600396,Bi-monthly,https://www.springer.com/journal/10559,15738337,
13185,15219615,Bi-monthly,https://www.computer.org/portal/web/computingnow/cise,1558366X,
13560,10407413,Quarterly,https://www.tandfonline.com/loi/heco20,15326969,
13675,10782,Monthly,https://cacm.acm.org/,15577317,
14000156208,18652034,Quarterly,https://link.springer.com/journal/450/volumes-and-issues,18652042,
145262,1046500,Monthly,https://journal-bcs.springeropen.com/articles,16784804,
145537,0948695X,Monthly,http://www.jucs.org/,9486968,40 weeks
145567,9290907,Tri-annual,https://benjamins.com/catalog/pc,15699943,
145592,1381298X,Quarterly,http://www.springerlink.com/content/102865/,15729346,
147225,7380569,Quarterly,https://www.tandfonline.com/loi/wcis20#.VOdCbvldX5E,15287033,
15099,188646,Bi-monthly,http://researchweb.watson.ibm.com/journal/index.html,21518556,
15900154752,1819656X,Quarterly,http://www.iaeng.org/IJCS/,18199224,
17300154986,1881803X,Monthly,http://www.icicel.org/,,
17400154829,18659284,Quarterly,http://www.springerlink.com/content/1865-9284,18659292,
17600155052,1060992X,Quarterly,https://www.springer.com/journal/12005,19347898,
17645,3601315,Monthly,https://www.sciencedirect.com/journal/computers-and-education,1873782X,
17800156712,18756891,Annual,https://www.atlantis-press.com/journals/ijcis,18756883,22 weeks
17953,3401200,Bi-monthly,http://www.springerlink.com/content/100465/,14320770,
18000156702,15827445,Quarterly,http://www.aece.ro/index.php,18447600,20 weeks
18156,10613773,Quarterly,https://onlinelibrary.wiley.com/journal/10990542,10990542,
18159,457906,Bi-monthly,https://www.journals.elsevier.com/computers-and-electrical-engineering/,18790755,
18160,457930,Monthly,https://www.journals.elsevier.com/computers-and-fluids/,18790747,
18164,3608352,Monthly,https://www.journals.elsevier.com/computers-and-industrial-engineering/,18790550,
18300156736,18062563,Annual,http://periodicos.uem.br/ojs/index.php/ActaSciTechnol/index,18078664,53 weeks
18388,10693769,Quarterly,https://www.asee.org/papers-and-publications/publications/division-publications/computers-in-education-journal,,
19080,1663615,Bi-monthly,https://www.journals.elsevier.com/computers-in-industry/#description,18726194,
19148,13423819,Semi-annual,https://www.scimagojr.com/journalsearch.php?q=19148&tip=sid,,
19300157037,18200214,Tri-annual,http://www.comsis.org/,,
19400158593,18685137,Bi-monthly,https://www.springer.com/journal/volumesAndIssues/12652,18685145,
19500157063,18754791,Quarterly,https://www.springer.com/journal/12369,18754805,
19500157821,16833198,Bi-monthly,http://www.iajit.org/,,
19600157016,17875021,Annual,https://ami.uni-eszterhazy.hu/index.php,17876117,
19600157312,18438121,Semi-annual,https://www.info.uaic.ro/en/scientific-annals-of-computer-science/about/,22482695,20 weeks
19600161832,1674733X,Monthly,http://www.springerlink.com/content/1674-733X/,18622836/18691919,
19700170417,19331681,Quarterly,https://www.tandfonline.com/loi/witp20,1933169X,
19700170610,19493053,Bi-monthly,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5165411,19493061,
19700170833,2558297,Quarterly,https://publons.com/journal/15681/yingyong-kexue-xuebaojournal-of-applied-sciences/,,
19700173238,15575969,Quarterly,https://www.oldcitypublishing.com/JCA/JCA.html,15575977,
19700173244,15487199,Bi-monthly,https://www.oldcitypublishing.com/IJUC/IJUC.html,15487202,
19700174607,18777503,Quarterly,https://www.journals.elsevier.com/journal-of-computational-science/,,
19700174656,51144,Quarterly,https://www.tandfonline.com/toc/taut20/current,18483380,42 weeks
19700175752,18605974,Annual,https://lmcs.episciences.org/,,33 weeks
19700177026,19430663,Quarterly,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4563995,19430671,
19700181115,21852766,Monthly,http://www.icicelb.org/,,
19700181218,15480992,Monthly,https://www.ieee.org/,,
19700182406,1756378X,Quarterly,https://www.emerald.com/insight/publication/issn/1756-378X,17563798,
19700182903,19928645,Monthly,https://www.jatit.org/,18173195,
19700183047,19466226,Quarterly,https://dl.acm.org/journal/toce,19466226,
19700185000,3621340,Quarterly,https://dl.acm.org/loi/sigplan,,
19700186738,15519899,Monthly,https://www.oldcitypublishing.com/,15520633,
19700186817,15427730,Quarterly,https://queue.acm.org/,15427749,
19700186858,1476882,Bi-monthly,https://www.springer.com/journal/11984,19348118,
19700186873,19317883,Quarterly,https://www.nowpublishers.com/DBS,19317391,
19700186890,11125209,Quarterly,http://journal.esrgroups.org/jes/,,10 weeks
19700186903,18744796,Quarterly,https://benthamscience.com/journals/recent-patents-on-computer-science/,22132759,
19700188314,1287680,Quarterly,http://www.pertanika.upm.edu.my/JST.php,,
19700188366,20751087,Quarterly,https://link.springer.com/journal/13140/volumes-and-issues,20751109,
19700201308,19387857,Quarterly,https://www.igi-global.com/gateway/journal/1100,19387865,
19700201403,13283154,Tri-annual,http://www.wiete.com.au/journals/GJEE/Publish/index.html,,
19700201422,8993408,Quarterly,https://www.tandfonline.com/loi/ncse20,17445175,
19700201443,19942060,Annual,https://www.tandfonline.com/toc/tcfm20/current,1997003X,39 weeks
19700201455,22105379,Quarterly,https://www.elsevier.com/catalog?producttype=journal,22105387,
19700201511,15551229,Semi-monthly,https://www.informingscience.org/,15551237,
19900191719,14714175,Quarterly,http://www.emeraldinsight.com/loi/ci,14770857,
19900191737,12201766,Quarterly,https://sic.ici.ro/,1841429X,
19900191768,14548658,Quarterly,http://www.ceai.srait.ro/index.php?journal=ceai&page=index,,
19900191878,20612079,Quarterly,http://www.infocommunications.hu/,20612125,
19900192513,22106502,Bi-monthly,http://www.journals.elsevier.com/swarm-and-evolutionary-computation/,22106510,
19900193654,13478826,Annual,https://www.jstage.jst.go.jp/browse/jsces/-char/en,13449443,
19900193674,15705838,Quarterly,https://www.iospress.nl/journal/applied-ontology/,18758533,
20400195003,17550386,Monthly,https://www.inderscience.com/jhome.php?jcode=ijaip,17550394,
20400195011,17548632,Quarterly,https://www.inderscience.com/jhome.php?jcode=ijaacs,17548640,
20500195215,1943023X,Monthly,https://www.jardcs.org/,,
20541,9270256,Monthly,http://www.journals.elsevier.com/computational-materials-science/#description,18790801,
20569,15710661,Bi-monthly,https://www.entcs.org/,,
20571,3043975,Weekly,http://www.journals.elsevier.com/theoretical-computer-science/#description,18792294,
21100197345,9153942,Bi-monthly,http://www.fujipress.jp/JRM/index.html,18838049,
21100197510,20900147,Annual,https://www.hindawi.com/journals/jece/,20900155,19 weeks
21100197714,16469895,Bi-monthly,http://www.risti.xyz,,
21100198223,17550556,Quarterly,https://www.inderscience.com/jhome.php?jcode=ijris,17550564,
21100198230,17408865,Bi-monthly,https://www.inderscience.com/jhome.php?jcode=ijista,17408873,
21100199540,3650359,Semi-annual,http://www.actapeloritana.it/,18251242,31 weeks
