Scopus Source ID,Subject Area,Index,Publisher,Percentile,Frequency,Open Access,Review Time
11900154400,General Computer Science,Scopus,Others,60,Bi-monthly,NO,12 weeks
12100154817,General Computer Science,Scopus,Inderscience,22,Bi-monthly,NO,12 weeks
12100154833,General Computer Science,Scopus,ACM,75,Bi-annually,NO,6 weeks
12166,General Computer Science,Scopus,Elsevier,73,Quarterly,NO,10 weeks
12213,General Computer Science,Scopus,ACM,90,Bi-monthly,NO,12 weeks
12288,General Computer Science,Scopus,Others,14,Bi-monthly,NO,12 weeks
12318,General Computer Science,Scopus,Elsevier,80,Monthly,NO,18 weeks
12324,General Computer Science,Scopus,Others,28,Annually,NO,4 weeks
12415,General Computer Science,Scopus,Others,48,Bi-annually,NO,6 weeks
12753,General Computer Science,Scopus,Others,16,Monthly,NO,18 weeks
12933,General Computer Science,Scopus,Springer,32,Bi-annually,NO,6 weeks
13185,General Computer Science,Scopus,IEEE,65,Quarterly,NO,10 weeks
13560,General Computer Science,Scopus,Others,43,Bi-monthly,NO,12 weeks
13675,General Computer Science,Scopus,ACM,78,Quarterly,NO,10 weeks
14000156208,General Computer Science,Scopus,Springer,69,Annually,NO,4 weeks
145262,General Computer Science,Scopus,Springer,55,Annually,YES,4 weeks
145537,General Computer Science,Scopus,Others,69,Monthly,YES,18 weeks
145567,General Computer Science,Scopus,Others,39,Quarterly,NO,10 weeks
145592,General Computer Science,Scopus,Others,64,Bi-annually,NO,6 weeks
147225,General Computer Science,Scopus,Others,56,Bi-monthly,NO,12 weeks
15099,General Computer Science,Scopus,Others,72,Monthly,NO,18 weeks
15900154752,General Computer Science,Scopus,Others,61,Bi-monthly,YES,12 weeks
17300154986,General Computer Science,Scopus,Others,1,Bi-annually,NO,6 weeks
17400154829,General Computer Science,Scopus,Springer,81,Annually,NO,4 weeks
17600155052,General Computer Science,Scopus,Others,59,Quarterly,NO,10 weeks
17645,General Computer Science,Scopus,Elsevier,97,Quarterly,NO,10 weeks
17800156712,General Computer Science,Scopus,Others,88,Annually,YES,4 weeks
17953,General Computer Science,Scopus,Springer,67,Monthly,NO,18 weeks
18000156702,General Computer Science,Scopus,Others,42,Bi-monthly,YES,12 weeks
18156,General Computer Science,Scopus,Others,74,Bi-annually,NO,6 weeks
18159,General Computer Science,Scopus,Elsevier,85,Annually,NO,4 weeks
18160,General Computer Science,Scopus,Elsevier,82,Annually,NO,4 weeks
18164,General Computer Science,Scopus,Elsevier,94,Bi-monthly,NO,12 weeks
18300156736,General Computer Science,Scopus,Others,21,Bi-monthly,YES,12 weeks
18388,General Computer Science,Scopus,Others,4,Bi-annually,NO,6 weeks
19080,General Computer Science,Scopus,Elsevier,96,Bi-monthly,NO,12 weeks
19148,General Computer Science,Scopus,Others,0,Annually,NO,4 weeks
19300157037,General Computer Science,Scopus,Others,53,Bi-annually,YES,6 weeks
19400158593,General Computer Science,Scopus,Springer,82,Bi-annually,NO,6 weeks
19500157063,General Computer Science,Scopus,Springer,86,Annually,NO,4 weeks
19500157821,General Computer Science,Scopus,Others,46,Monthly,YES,18 weeks
19600157016,General Computer Science,Scopus,Others,8,Annually,NO,4 weeks
19600157312,General Computer Science,Scopus,Others,6,Monthly,YES,18 weeks
19600161832,General Computer Science,Scopus,Others,83,Bi-annually,NO,6 weeks
19700170417,General Computer Science,Scopus,Others,79,Bi-monthly,NO,12 weeks
19700170610,General Computer Science,Scopus,IEEE,99,Monthly,NO,18 weeks
19700170833,General Computer Science,Scopus,Others,11,Bi-monthly,NO,12 weeks
19700173238,General Computer Science,Scopus,Others,39,Bi-monthly,NO,12 weeks
19700173244,General Computer Science,Scopus,Others,40,Monthly,NO,18 weeks
19700174607,General Computer Science,Scopus,Elsevier,87,Bi-monthly,NO,12 weeks
19700174656,General Computer Science,Scopus,Taylor and Francis,29,Bi-monthly,YES,12 weeks
19700175752,General Computer Science,Scopus,Others,53,Monthly,YES,18 weeks
19700177026,General Computer Science,Scopus,IEEE,77,Annually,NO,4 weeks
19700181115,General Computer Science,Scopus,Others,1,Quarterly,NO,10 weeks
19700181218,General Computer Science,Scopus,IEEE,50,Bi-monthly,NO,12 weeks
