Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,subject_area,Percentile,RANK,Rank Out Of,Publisher,Open Access,Quartile,URL Scopus Source ID,Print ISSN,E-ISSN,Index,Publisher2,Percentile2,Open Access2
Computers in Education Journal,75,88,31.8,0.9,0.524,0.258,General Computer Science,24.0,168.0,221.0,American Society for Engineering Education,NO,4.0,https://www.scopus.com/sourceid/18388,1069-3769,,Scopus,Others,400.0,No
Eurasip Journal on Embedded Systems,110,65,67.7,1.7,0.8370000000000001,0.154,General Computer Science,50.0,111.0,221.0,Springer Nature,YES,2.0,https://www.scopus.com/sourceid/4000151614,1687-3955,1687-3963,Scopus,Springer,200.0,Yes
International Journal of Information Technologies and Systems Approach,43,40,42.5,1.1,0.29,0.11800000000000001,General Computer Science,31.0,152.0,221.0,IGI Global Publishing,NO,3.0,https://www.scopus.com/sourceid/21100241217,1935-570X,1935-5718,Scopus,IGI Global,300.0,No
Computers and Composition,268,136,52.9,2.0,1.232,0.496,General Computer Science,59.0,90.0,221.0,Elsevier,NO,2.0,https://www.scopus.com/sourceid/26168,8755-4615,,Scopus,Elsevier,200.0,No
Studies in Informatics and Control,617,193,68.4,3.2,1.0659999999999998,0.462,General Computer Science,74.0,56.0,221.0,National Institute for R & D in Informatics,YES,2.0,https://www.scopus.com/sourceid/19900191737,1220-1766,1841-429X,Scopus,Others,200.0,Yes
Journal of Electrical Systems,386,213,55.9,1.8,0.259,0.187,General Computer Science,54.0,100.0,221.0,Engineering and Scientific Research Groups (ESR Groups),YES,2.0,https://www.scopus.com/sourceid/19700186890,1112-5209,,Scopus,Others,200.0,Yes
Informacion Tecnologica,538,598,40.1,0.9,0.52,0.23199999999999998,General Computer Science,27.0,161.0,221.0,Centro de Informacion Tecnologica,YES,3.0,https://www.scopus.com/sourceid/22476,0716-8756,0718-0764,Scopus,Others,300.0,Yes
Computational and Mathematical Organization Theory,198,88,58.0,2.3,0.6829999999999999,0.223,General Computer Science,64.0,80.0,221.0,Springer Nature,NO,2.0,https://www.scopus.com/sourceid/145592,1381-298X,,Scopus & SCIEISI,Springer,200.0,No
International Journal of Mobile and Blended Learning,150,79,59.5,1.9,0.609,0.324,General Computer Science,56.0,96.0,221.0,IGI Global Publishing,NO,2.0,https://www.scopus.com/sourceid/21100201516,1941-8647,1941-8655,Scopus,IGI Global,200.0,No
Computer Applications in Engineering Education,986,459,63.6,2.1,0.93,0.395,General Computer Science,62.0,84.0,221.0,Wiley-Blackwell,NO,2.0,https://www.scopus.com/sourceid/18156,1061-3773,1099-0542,Scopus & SCIEISI,Others,200.0,No
Revista de Informatica Teorica e Aplicada,0,19,0.0,0.0,,,General Computer Science,0.0,218.0,221.0,Universidade Federal do Rio Grande do Sul,NO,4.0,https://www.scopus.com/sourceid/21100913339,0103-4308,2175-2745,Scopus,Others,400.0,No
