scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
11900154400,15541045,15541053,Quarterly,,https://www.igi-global.com/gateway/journal/1093
12100154817,17411084,17411092,Bi-monthly,,https://www.inderscience.com/jhome.php?jcode=ijwmc
12100154833,15443558,15443965,Quarterly,,https://dl.acm.org/journal/tap
12166,3784754,18727166,Monthly,,https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/#description
12213,7342071,15577333,Quarterly,,https://dl.acm.org/journal/tocs
12288,15430537,19448325,Quarterly,,https://www.oldcitypublishing.com/journals/nloqo-home/
12318,9253467,18731252,Monthly,,https://www.journals.elsevier.com/optical-materials/#description
12324,2676192,,Bi-monthly,,http://www.crlpublishing.co.uk/journal.asp/j_csse/s_Aims/20and/20Scope
12415,2185393,17936446,Bi-monthly,,http://www.worldscientific.com/worldscinet/ijrqse
12753,2191989,17936675,Quarterly,,http://www.worldscinet.com/igtr
12933,10600396,15738337,Bi-monthly,,https://www.springer.com/journal/10559
13185,15219615,1558366X,Bi-monthly,,https://www.computer.org/portal/web/computingnow/cise
13560,10407413,15326969,Quarterly,,https://www.tandfonline.com/loi/heco20
13675,10782,15577317,Monthly,,https://cacm.acm.org/
14000156208,18652034,18652042,Quarterly,,https://link.springer.com/journal/450/volumes-and-issues
145262,1046500,16784804,Monthly,,https://journal-bcs.springeropen.com/articles
145537,0948695X,9486968,Monthly,40 weeks,http://www.jucs.org/
145567,9290907,15699943,Tri-annual,,https://benjamins.com/catalog/pc
145592,1381298X,15729346,Quarterly,,http://www.springerlink.com/content/102865/
147225,7380569,15287033,Quarterly,,https://www.tandfonline.com/loi/wcis20#.VOdCbvldX5E
15099,188646,21518556,Bi-monthly,,http://researchweb.watson.ibm.com/journal/index.html
15900154752,1819656X,18199224,Quarterly,,http://www.iaeng.org/IJCS/
17300154986,1881803X,,Monthly,,http://www.icicel.org/
17400154829,18659284,18659292,Quarterly,,http://www.springerlink.com/content/1865-9284
17600155052,1060992X,19347898,Quarterly,,https://www.springer.com/journal/12005
17645,3601315,1873782X,Monthly,,https://www.sciencedirect.com/journal/computers-and-education
17800156712,18756891,18756883,Annual,22 weeks,https://www.atlantis-press.com/journals/ijcis
17953,3401200,14320770,Bi-monthly,,http://www.springerlink.com/content/100465/
18000156702,15827445,18447600,Quarterly,20 weeks,http://www.aece.ro/index.php
18156,10613773,10990542,Quarterly,,https://onlinelibrary.wiley.com/journal/10990542
18159,457906,18790755,Bi-monthly,,https://www.journals.elsevier.com/computers-and-electrical-engineering/
18160,457930,18790747,Monthly,,https://www.journals.elsevier.com/computers-and-fluids/
18164,3608352,18790550,Monthly,,https://www.journals.elsevier.com/computers-and-industrial-engineering/
18300156736,18062563,18078664,Annual,53 weeks,http://periodicos.uem.br/ojs/index.php/ActaSciTechnol/index
18388,10693769,,Quarterly,,https://www.asee.org/papers-and-publications/publications/division-publications/computers-in-education-journal
19080,1663615,18726194,Bi-monthly,,https://www.journals.elsevier.com/computers-in-industry/#description
19148,13423819,,Semi-annual,,https://www.scimagojr.com/journalsearch.php?q=19148&tip=sid
19300157037,18200214,,Tri-annual,,http://www.comsis.org/
19400158593,18685137,18685145,Bi-monthly,,https://www.springer.com/journal/volumesAndIssues/12652
19500157063,18754791,18754805,Quarterly,,https://www.springer.com/journal/12369
19500157821,16833198,,Bi-monthly,,http://www.iajit.org/
19600157016,17875021,17876117,Annual,,https://ami.uni-eszterhazy.hu/index.php
19600157312,18438121,22482695,Semi-annual,20 weeks,https://www.info.uaic.ro/en/scientific-annals-of-computer-science/about/
19600161832,1674733X,18622836,Monthly,,http://www.springerlink.com/content/1674-733X/
19700170417,19331681,1933169X,Quarterly,,https://www.tandfonline.com/loi/witp20
19700170610,19493053,19493061,Bi-monthly,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5165411
19700170833,2558297,,Quarterly,,https://publons.com/journal/15681/yingyong-kexue-xuebaojournal-of-applied-sciences/
19700173238,15575969,15575977,Quarterly,,https://www.oldcitypublishing.com/JCA/JCA.html
19700173244,15487199,15487202,Bi-monthly,,https://www.oldcitypublishing.com/IJUC/IJUC.html
19700174607,18777503,,Quarterly,,https://www.journals.elsevier.com/journal-of-computational-science/
19700174656,51144,18483380,Quarterly,42 weeks,https://www.tandfonline.com/toc/taut20/current
19700175752,18605974,,Annual,33 weeks,https://lmcs.episciences.org/
19700177026,19430663,19430671,Quarterly,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4563995
19700181115,21852766,,Monthly,,http://www.icicelb.org/
19700181218,15480992,,Monthly,,https://www.ieee.org/
19700182406,1756378X,17563798,Quarterly,,https://www.emerald.com/insight/publication/issn/1756-378X
19700182903,19928645,18173195,Monthly,,https://www.jatit.org/
19700183047,19466226,19466226,Quarterly,,https://dl.acm.org/journal/toce
19700185000,3621340,,Quarterly,,https://dl.acm.org/loi/sigplan
19700186738,15519899,15520633,Monthly,,https://www.oldcitypublishing.com/
19700186817,15427730,15427749,Quarterly,,https://queue.acm.org/
19700186858,1476882,19348118,Bi-monthly,,https://www.springer.com/journal/11984
19700186873,19317883,19317391,Quarterly,,https://www.nowpublishers.com/DBS
19700186890,11125209,,Quarterly,10 weeks,http://journal.esrgroups.org/jes/
19700186903,18744796,22132759,Quarterly,,https://benthamscience.com/journals/recent-patents-on-computer-science/
19700188314,1287680,,Quarterly,,http://www.pertanika.upm.edu.my/JST.php
19700188366,20751087,20751109,Quarterly,,https://link.springer.com/journal/13140/volumes-and-issues
19700201308,19387857,19387865,Quarterly,,https://www.igi-global.com/gateway/journal/1100
19700201403,13283154,,Tri-annual,,http://www.wiete.com.au/journals/GJEE/Publish/index.html
19700201422,8993408,17445175,Quarterly,,https://www.tandfonline.com/loi/ncse20
19700201443,19942060,1997003X,Annual,39 weeks,https://www.tandfonline.com/toc/tcfm20/current
19700201455,22105379,22105387,Quarterly,,https://www.elsevier.com/catalog?producttype=journal
19700201511,15551229,15551237,Semi-monthly,,https://www.informingscience.org/
19900191719,14714175,14770857,Quarterly,,http://www.emeraldinsight.com/loi/ci
19900191737,12201766,1841429X,Quarterly,,https://sic.ici.ro/
19900191768,14548658,,Quarterly,,http://www.ceai.srait.ro/index.php?journal=ceai&page=index
19900191878,20612079,20612125,Quarterly,,http://www.infocommunications.hu/
19900192513,22106502,22106510,Bi-monthly,,http://www.journals.elsevier.com/swarm-and-evolutionary-computation/
19900193654,13478826,13449443,Annual,,https://www.jstage.jst.go.jp/browse/jsces/-char/en
19900193674,15705838,18758533,Quarterly,,https://www.iospress.nl/journal/applied-ontology/
20400195003,17550386,17550394,Monthly,,https://www.inderscience.com/jhome.php?jcode=ijaip
20400195011,17548632,17548640,Quarterly,,https://www.inderscience.com/jhome.php?jcode=ijaacs
20500195215,1943023X,,Monthly,,https://www.jardcs.org/
20541,9270256,18790801,Monthly,,http://www.journals.elsevier.com/computational-materials-science/#description
20569,15710661,,Bi-monthly,,https://www.entcs.org/
20571,3043975,18792294,Weekly,,http://www.journals.elsevier.com/theoretical-computer-science/#description
21100197345,9153942,18838049,Bi-monthly,,http://www.fujipress.jp/JRM/index.html
21100197510,20900147,20900155,Annual,19 weeks,https://www.hindawi.com/journals/jece/
