scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,type,open_access,scopus_asjc_code,subject_area,quartile,top_10%,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,user_index,user_publisher,user_percentile,user_frequency,user_open_access
13024,Acta Cybernetica,0.37,19,30,81,23,0.373,0.138,41,50,"University of Szeged, Institute of Informatics",Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/13024,Scopus,Others,4,Semi-annual,http://www.inf.u-szeged.hu/actacybernetica/edb/index.xml,,No,0324-721X,,1.0,0.1,0.3,0.3,0.5
144674,Journal of Geomatics,0.1,6,41,413,7,0.074,0.111,47,50,Wuhan University,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/144674,Scopus,Others,4,Bi-monthly,https://ores.su/en/journals/journal-of-geomatics/,,No,2095-6045,,1.0,0.1,0.3,0.6,0.5
145095,"Journal of Logic, Language and Information",0.91,37,40,44,50,1.514,0.342,32,50,Springer Netherlands,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/145095,Scopus,Springer,3,Quarterly,http://www.springer.com/philosophy/logic+and+philosophy+of+language/journal/10849,,No,0925-8531,1572-9583,1.0,1.0,0.5,0.5,0.5
15591,Journal of Artificial Societies and Social Simulation,2.42,79,404,167,69,1.493,1.097,11,50,University of Surrey,Journal,YES,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/15591,Scopus,Others,1,Quarterly,http://jasss.soc.surrey.ac.uk/JASSS.html,21 weeks,Yes,1460-7425,,1.0,0.1,1.0,0.5,1.0
17700155307,Chongqing Daxue Xuebao/Journal of Chongqing University,0.33,14,129,389,24,0.301,0.203,43,50,Editorial Board of Journal of Chongqing University,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/17700155307,Scopus,Others,4,Bi-monthly,,,No,1000-582X,,1.0,0.1,0.3,0.6,0.5
19700174668,Annual Review of CyberTherapy and Telemedicine,0.33,14,40,120,22,0.125,0.129,43,50,Virtual Reality Medical Institute,Journal,YES,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/19700174668,Scopus,Others,4,Annual,http://www.arctt.info/,35 weeks,Yes,1554-8716,2352-927X,1.0,0.1,0.3,0.2,1.0
19700187808,Journal of Medical Ethics and History of Medicine,0.96,39,46,48,44,1.184,0.238,31,50,Teheran University of Medical Sciences,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/19700187808,Scopus,Others,3,Annual,http://jmehm.tums.ac.ir/index.php/jmehm,23 weeks,No,2008-0387,,1.0,0.1,0.5,0.2,0.5
21100201542,Symmetry,2.28,75,1140,501,69,1.046,0.287,13,50,Multidisciplinary Digital Publishing Institute,Journal,YES,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/21100201542,Scopus,Others,1,Monthly,http://www.mdpi.com/journal/symmetry/,11 weeks,Yes,2073-8994,,1.0,0.1,1.0,0.7,1.0
21100223336,International Journal of Human Capital and Information Technology Professionals,1.02,41,66,65,60,0.321,0.2,30,50,IGI Publishing,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/21100223336,Scopus,Others,3,Quarterly,http://www.igi-global.com/gateway/journal/1152,,No,1947-3478,1947-3486,1.0,0.1,0.5,0.5,0.5
21100262198,Journal of Formalized Reasoning,1.7,63,34,20,45,1.708,0.706,19,50,Alma Mater Studiorum  (Bologna),Journal,YES,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100262198,Scopus,Others,2,Annual,http://jfr.unibo.it/,,Yes,1972-5787,25 w-eeks,1.0,0.1,0.7,0.2,1.0
