scopus_source_id,subject_area,index,publisher,percentile,frequency,open_access,review_time
13024,Computer Science (miscellaneous),1.0,0.1,0.3,0.4,0.5,0.8
144674,Computer Science (miscellaneous),1.0,0.1,0.3,0.4,0.5,0.8
145095,Computer Science (miscellaneous),1.0,1.0,0.5,1.0,0.5,0.2
15591,Computer Science (miscellaneous),1.0,0.1,1.0,0.2,1.0,1.0
17700155307,Computer Science (miscellaneous),1.0,0.1,0.3,0.2,0.5,1.0
19700174668,Computer Science (miscellaneous),1.0,0.1,0.3,0.8,1.0,0.4
19700187808,Computer Science (miscellaneous),1.0,0.1,0.5,0.4,0.5,0.8
21100201542,Computer Science (miscellaneous),1.0,0.1,1.0,1.0,1.0,0.2
21100223336,Computer Science (miscellaneous),1.0,0.1,0.5,0.6,0.5,0.6
21100262198,Computer Science (miscellaneous),1.0,0.1,0.7,0.6,1.0,0.6
21100262490,Computer Science (miscellaneous),1.0,0.1,1.0,0.6,0.5,0.6
21100283367,Computer Science (miscellaneous),1.0,0.1,0.7,1.0,1.0,0.2
21100318403,Computer Science (miscellaneous),1.0,0.1,0.3,0.2,0.5,1.0
21100338508,Computer Science (miscellaneous),1.0,0.7,1.0,0.2,0.5,1.0
21100368801,Computer Science (miscellaneous),1.0,0.7,1.0,0.8,0.5,0.4
21100394266,Computer Science (miscellaneous),1.0,0.4,0.7,0.6,0.5,0.6
21100400012,Computer Science (miscellaneous),1.0,0.1,0.3,0.6,0.5,0.6
21100405702,Computer Science (miscellaneous),1.0,1.0,0.7,1.0,0.5,0.2
21100448516,Computer Science (miscellaneous),1.0,0.1,0.5,0.2,1.0,1.0
21100775395,Computer Science (miscellaneous),1.0,0.1,0.3,0.8,0.5,0.4
21100818504,Computer Science (miscellaneous),1.0,0.1,0.5,0.6,1.0,0.6
21100820054,Computer Science (miscellaneous),1.0,0.1,0.7,1.0,0.5,0.2
21100824892,Computer Science (miscellaneous),1.0,0.55,0.7,1.0,0.5,0.2
21100826268,Computer Science (miscellaneous),1.0,0.1,0.3,0.6,1.0,0.6
21100826382,Computer Science (miscellaneous),1.0,0.1,0.7,0.6,0.5,0.6
21100826383,Computer Science (miscellaneous),1.0,0.1,0.7,0.4,0.5,0.8
21100827946,Computer Science (miscellaneous),1.0,0.1,1.0,0.8,1.0,0.4
21100831441,Computer Science (miscellaneous),1.0,0.1,0.5,0.8,1.0,0.4
21100838145,Computer Science (miscellaneous),1.0,0.1,0.7,0.4,1.0,0.8
21100842538,Computer Science (miscellaneous),1.0,0.1,0.3,0.6,0.5,0.6
21100853526,Computer Science (miscellaneous),1.0,0.25,0.7,0.4,0.5,0.8
21100854726,Computer Science (miscellaneous),1.0,0.1,0.3,0.2,0.5,1.0
21100855505,Computer Science (miscellaneous),1.0,0.1,1.0,0.2,1.0,1.0
21100855995,Computer Science (miscellaneous),1.0,0.4,0.3,0.2,0.5,1.0
27930,Computer Science (miscellaneous),1.0,0.1,0.5,0.8,0.5,0.4
28352,Computer Science (miscellaneous),1.0,0.85,1.0,1.0,0.5,0.2
4500151509,Computer Science (miscellaneous),1.0,0.1,0.7,0.2,1.0,1.0
4700152467,Computer Science (miscellaneous),1.0,0.1,0.3,0.4,0.5,0.8
4700152641,Computer Science (miscellaneous),1.0,0.1,0.5,0.2,0.5,1.0
4700152646,Computer Science (miscellaneous),1.0,0.1,1.0,0.8,0.5,0.4
4700152809,Computer Science (miscellaneous),1.0,0.1,0.5,0.6,1.0,0.6
4800153205,Computer Science (miscellaneous),1.0,0.25,1.0,0.6,0.5,0.6
4900152403,Computer Science (miscellaneous),1.0,0.1,0.7,0.2,0.5,1.0
4900152803,Computer Science (miscellaneous),1.0,1.0,0.5,0.4,0.5,0.8
5100155071,Computer Science (miscellaneous),1.0,0.1,1.0,0.2,0.5,1.0
